@lat,@lon,name
37.1368468,128.1394999,제천 나들목
35.2562378,128.9835083,대동
35.2234148,128.9755971,대저 분기점
35.2169924,128.9740501,대저 분기점
37.5063418,127.9716697,횡성 나들목
37.0837345,128.1698288,제천분기점
37.7437665,127.7931590,춘천분기점
35.2752344,128.9844210,대감분기점
36.0925296,128.5337292,가산
36.1955920,128.5577314,군위 나들목
36.0996195,128.5339420,가산
36.0502256,128.5194865,다부 나들목
35.3252937,129.0499462,양산분기점
35.3282063,129.0296373,남양산
35.3308369,129.0348665,양산분기점
35.2836578,128.9898552,대동분기점
36.2213906,127.0521309,서논산
36.1517334,127.0579104,연무
36.0758994,127.1019351,논산분기점
36.4228500,127.0825500,남공주
36.2986998,127.0672381,탄천
36.2951800,127.0662000,탄천
36.2289964,127.0546297,서논산
36.4828701,127.0904874,공주분기점
36.5039900,127.1047200,북공주분기점
36.4889569,127.0934889,공주분기점
36.4296076,127.0794922,남공주
36.7495457,127.1641140,남천안
36.7574973,127.1657665,남천안
36.7210548,127.1365324,남풍세
36.7645372,127.1772396,천안분기점
37.0487098,126.9144691,청북IC
37.0336458,127.1602142,서안성IC
37.0327448,127.1616580,서안성IC
37.0346415,127.1082147,송탄IC
37.0341089,127.1109298,송탄IC
36.0834189,127.0998486,논산분기점
34.9918160,127.5475570,순천분기점
34.9872384,127.5159401,순천IC
35.5125831,126.8031662,내장산IC
35.7771577,127.0040476,김제
35.7382554,126.9903423,금산사
35.8259303,127.0329758,서전주
35.8268314,127.0334457,서전주
35.1246570,127.2460668,석곡IC
35.0694872,127.2689684,주암IC
35.2587544,127.1156262,옥과IC
35.2312549,126.9999468,창평IC
35.1301829,127.2478221,석곡IC
35.9226807,127.0770815,삼례
35.3341616,126.8087326,장성분기점
35.3255363,126.7999535,장성분기점
35.2279174,127.2198063,곡성IC
35.2233446,126.9558744,고서분기점
35.2157681,126.8283110,광산IC
35.1999919,126.8433256,산월
35.1831448,126.9266889,동광주
35.1839899,126.9057989,용봉
35.2393372,126.8202231,북광산IC
35.0032632,127.4782602,서순천IC
35.8027021,127.0248038,서완주분기점
35.5781369,126.8320536,정읍IC
35.9930061,127.1135559,익산
35.2595801,127.1100252,옥과IC
35.8762519,127.0544596,전주
35.5065175,126.8009773,내장산IC
35.2249588,127.2256339,곡성IC
35.1929617,126.8532850,동림
35.9331951,127.0619640,온수교차로
37.4674393,126.8845418,금천교교차로
35.2318670,128.8339182,주촌교차로
34.8856865,127.8825744,
35.8615818,129.0941299,북건천
36.8184851,127.6135254,도안교차로
37.2626709,128.7372699,문곡교차로
37.1793646,128.3004878,산막
37.1857637,128.4410877,영월
37.1454403,126.8920158,지월교차로
35.9098171,129.0235969,만불교차로
37.6495073,127.1953581,사릉IC
37.6078204,126.7442698,태리교차로
37.6098276,127.1821020,도농IC
37.5087040,129.1032651,동해IC입구
33.3280023,126.3535519,광평교차로
33.4051237,126.3843313,소길교차로
37.5350199,126.9435399,마포대교 북단
37.5190235,126.9691494,한강대교 북단
37.5184089,126.9704680,한강대교 북단
37.5547105,127.0682379,군자교
37.5664470,127.0746857,군자교
37.5977676,127.0689136,중랑교
37.6220578,127.0698628,월릉교
37.6599757,127.0528038,상계교
37.6090679,127.0725453,월릉교
35.1474230,129.0945147,대연램프
35.1798477,129.1138654,망미램프
37.6150796,127.1051983,신내IC
37.6176831,127.0923844,묵동IC
37.5066970,126.9909208,동작대교분기점
35.1148485,126.9154581,용산교차로
35.1118478,126.8895683,효덕교차로
35.2708532,129.1081400,영락 IC
37.5051108,126.4896282,운북
37.5071564,126.4977138,운북
37.5628912,127.0493350,사근
37.5334291,127.0229525,동호대교 분기점
35.8739361,128.6123961,
35.9018180,128.5933064,
37.6062024,127.0074263,정릉
33.3307807,126.3549716,광평교차로
37.4499176,127.0071275,광창
35.7729895,127.0000626,김제
35.8988420,127.1507818,완주
36.1958876,127.4865360,추부IC
36.3170865,127.4724231,판암 나들목
36.2837602,127.3813836,안영IC
37.5278458,127.1950375,하남분기점
36.4836959,127.6120841,회인IC
36.6690704,128.5428573,
36.6680338,128.5420457,예천 나들목
36.6680384,128.5435525,
36.4556252,127.7906859,속리산IC
36.4425069,127.9629095,화서IC
36.4427879,127.9654942,화서IC
36.3676652,128.1431364,남상주IC
36.5859143,128.1545685,점촌함창IC
35.8415868,127.6464657,덕유산IC
35.5897135,127.7672606,북함양 분기점
35.5353960,127.7711876,함양 분기점
35.5347246,127.7701837,함양 분기점
36.4885374,127.6065990,회인IC
36.6543830,127.4218560,서청주
36.5702397,127.4288043,청주분기점
36.6513940,127.4210000,서청주
36.1202688,127.1302237,논산
36.1232088,127.1363351,논산
37.8424151,127.7664627,춘천
37.6417861,127.1319138,퇴계원
37.3251223,126.9203810,군포
37.3497130,126.8602304,안산분기점
37.3432025,126.8654270,안산분기점
33.3857773,126.3726100,어음1교차로
36.4012859,127.4184004,회덕분기점
37.0372419,127.1482238,안성분기점
37.0487996,126.9220843,청북IC
36.7698804,127.5000468,증평IC
