var1,var2,n,pearson_r,pearson_p,spearman_r,spearman_p,same_block,block1,block2,q_fdr
rtms_nrg_med_unit,excess_pp_med,201,-0.025904703097104825,0.7150865562077027,-0.06837089620762406,0.33484124188760983,False,rtms_nrg,excess,0.4652796570616034
appraisal_mn,n_rounds_m,201,0.12288998711913049,0.0822119067810518,-0.06833335044876383,0.33510734758176086,True,site_price,site_price,0.46552844570529367
cci_yoy_pct,apt_idx,798,0.15615432875416255,9.358660399105834e-06,-0.034151133374210704,0.3352963955884331,False,cci,land_house,0.4655491631294084
stcns_after_exit,ah_rate_med,730,-0.006487659781962783,0.8610887713977913,0.035711862255537276,0.33527898552014607,False,exit,applyhome,0.4655491631294084
yield_office,exited,777,-0.028980393219447117,0.4198455504662872,-0.03459533923894087,0.33551181807681024,False,commercial,exit,0.46572733417879136
rtms_fac_n_3m,excess_pp_med,201,-0.08088954087414196,0.25365092291306907,-0.06821666483648424,0.3359352199989529,False,rtms_fac,excess,0.466073072479087
corp_bond_BBB3y,stcns_delay_days,141,0.08550459959706638,0.3133965873046412,0.08162983858474797,0.33590929961293203,False,rates,hub,0.466073072479087
exited,hug_sago_last_yr,335,-0.03408623869852581,0.5341198274135669,-0.052687854191334656,0.33634631069970244,False,exit,hug,0.46635156282646734
rtms_land_dae_med_unit,rtms_fac_n,797,-0.06049416472027409,0.08787690005759864,-0.03409486917611715,0.3363976019864755,False,rtms_land,rtms_fac,0.46635156282646734
spread_AA_KTB,kiscon_cnt_indiv,798,0.036349169437748505,0.305102257973922,0.03408465995502729,0.33623849131354877,False,rates,kiscon,0.46635156282646734
appr_vs_rtms_dae_3m,ap_stcns_day,138,-0.08685353651777505,0.31109212739171593,0.08238153459202005,0.33675574665096086,False,valuation,hub,0.46672705478037524
kfb_understated,n_rounds_m,122,0.002982933941686493,0.9739868133126,-0.0874400236887797,0.3382140590511217,False,exit,site_price,0.4685053299861004
